cell_family,mean_fraction_control,mean_fraction_endometriosis,fraction_difference,arcsin_sqrt_effect,exact_permutation_p,n_label_assignments,fdr_bh
Epithelial,0.5328985157924669,0.2571785846739869,-0.27571993111848,-0.3104476733800719,0.0772727272727272,220,0.4181818181818181
Cycling,0.0006844821710871,0.0159404718731473,0.0152559897020602,0.0750592399214313,0.1045454545454545,220,0.4181818181818181
Macrophage,0.0434343037492833,0.0281690774116345,-0.0152652263376488,-0.0408103870998502,0.1045454545454545,220,0.4181818181818181
Mast_cell,0.0029107347018808,0.012111386484652,0.0092006517827712,0.0455644183478485,0.1909090909090909,220,0.5727272727272728
T_cell,0.0584243321385851,0.1279377954830537,0.0695134633444686,0.1016487815715511,0.3454545454545454,220,0.7227272727272727
B_cell,0.0100634539309909,0.0218037922637872,0.0117403383327962,0.0434188100387186,0.4318181818181818,220,0.7227272727272727
Stromal_fibroblast,0.0926488782109495,0.2488899047938103,0.1562410265828607,0.1826172458202222,0.45,220,0.7227272727272727
Dendritic,0.0009167368381889,0.0022222191513447,0.0013054823131557,0.0154031314546196,0.4818181818181818,220,0.7227272727272727
NK_cell,0.0596632129212751,0.0933317184193029,0.0336685054980278,0.0473359371884851,0.5590909090909091,220,0.7454545454545455
Endothelial,0.0625713482740115,0.0483380078724961,-0.0142333404015153,-0.0209592739858869,0.740909090909091,220,0.889090909090909
Myeloid,0.0534796031985111,0.0621425489155859,0.0086629457170747,0.0140524218140832,0.9,220,0.968181818181818
Smooth_muscle_pericyte,0.0823043980727686,0.0819344926571975,-0.0003699054155711,-0.003396029441772,0.968181818181818,220,0.968181818181818
