gene,cohort,standardized_effect
PDZD2,GSE51981,0.6922303392818263
DPF3,GSE51981,0.3964898724490051
TMEM204,GSE51981,0.6033762872232978
RASSF4,GSE51981,0.4212024469052711
CA12,GSE51981,-0.919465748099452
ACSS2,GSE51981,0.844512891535669
RNASE1,GSE51981,0.6692608177279459
ARG2,GSE51981,-0.2041791562434324
SLC1A5,GSE51981,1.2258635153043742
STARD5,GSE51981,0.7901891673619535
ZSCAN30,GSE51981,0.3570416986358888
DUOX1,GSE51981,0.5558512790173343
PDZD2,GSE212787,1.3888538436209812
DPF3,GSE212787,0.423081973634341
TMEM204,GSE212787,-0.0784332900260091
RASSF4,GSE212787,1.334564789249605
CA12,GSE212787,-0.8868063272802986
ACSS2,GSE212787,0.4362438066586169
RNASE1,GSE212787,0.0891771349545022
ARG2,GSE212787,0.6760273183157883
SLC1A5,GSE212787,0.1906949736255323
STARD5,GSE212787,0.8308583237346341
ZSCAN30,GSE212787,0.3174204824856291
DUOX1,GSE212787,1.0206935038407663
PDZD2,GSE153740,0.789501858186813
DPF3,GSE153740,-0.3857522627520147
TMEM204,GSE153740,-1.031870789089905
RASSF4,GSE153740,-1.1088875082516796
CA12,GSE153740,0.7874876031190899
ACSS2,GSE153740,1.1284763625783047
RNASE1,GSE153740,-0.3341858555518185
ARG2,GSE153740,1.3037177064284928
SLC1A5,GSE153740,-0.1132020055652358
STARD5,GSE153740,-0.2508732284135752
ZSCAN30,GSE153740,-0.2968555815944274
DUOX1,GSE153740,-0.1609047127557947
