gene,full_model_coefficient,absolute_coefficient,coefficient_median,coefficient_ci_lower,coefficient_ci_upper,positive_sign_fraction,sign_stability,permutation_auc_decrease_mean,permutation_auc_decrease_sd,positive_importance_fraction,frozen_discovery_direction,coefficient_direction,GSE51981_direction_match,GSE212787_direction_match,GSE153740_direction_match,external_direction_matches,project_direction,project_cell_family,direct_endometriosis_evidence,evidence_context,direction_concordance,dataset_overlap_risk,evidence_grade,interpretation,primary_reference
PDZD2,0.1154083855393873,0.1154083855393873,0.1166292028482712,0.056623647455343,0.1698419003326003,1.0,1.0,0.0145761904761904,0.0231013296495608,0.75,higher_in_endometriosis,higher_risk,True,True,True,2,higher_in_endometriosis,Epithelial,same_dataset_report,Human endometrium; abnormal pathology versus no-pathology controls in the original GSE51981 publication,supporting_not_independent,confirmed_overlap_GSE51981,D,Rediscovery supports pipeline validity but is not external validation and does not establish endometriosis specificity.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4239429/
DPF3,0.061820302344778,0.061820302344778,0.0617647915045997,0.0258650328865699,0.0890590560207867,0.996,0.996,0.004663988095238,0.0078662927029695,0.71,higher_in_endometriosis,higher_risk,True,True,False,1,higher_in_endometriosis,NK_cell,no_direct_evidence_identified,No directly relevant endometriosis study identified in the targeted search,not_assessable,none_identified,I,Hypothesis-generating candidate; no literature-validation claim is supported.,
TMEM204,0.0713795760096327,0.0713795760096327,0.0732022734175415,0.0097489948063475,0.1308408655164229,0.988,0.988,-0.0005802083333333,0.0150750364171809,0.57,higher_in_endometriosis,higher_risk,True,False,False,0,higher_in_endometriosis,Epithelial,no_direct_evidence_identified,No directly relevant endometriosis study identified in the targeted search,not_assessable,none_identified,I,Hypothesis-generating candidate; vascular or tissue-composition explanations require testing.,
RASSF4,0.0558459665505744,0.0558459665505744,0.0568332873928126,0.0152759782256299,0.0836161637220641,0.994,0.994,-0.0001773809523809,0.0104833306012136,0.58,higher_in_endometriosis,higher_risk,True,True,False,1,higher_in_endometriosis,Epithelial,no_direct_evidence_identified,No directly relevant endometriosis study identified in the targeted search,not_assessable,none_identified,I,Hypothesis-generating candidate; no literature-validation claim is supported.,
CA12,-0.145445382951782,0.145445382951782,-0.1458977619102122,-0.1944107121792725,-0.0891348862602846,0.0,1.0,0.0246596726190476,0.0266829817254076,0.84,lower_in_endometriosis,lower_risk,True,True,False,1,lower_in_endometriosis,NK_cell,no_direct_evidence_identified,Carbonic-anhydrase and pH biology is indirectly plausible but no direct gene-level endometriosis study was identified,not_assessable,none_identified,I,Biological plausibility must not be presented as direct validation.,
ACSS2,0.1246936213181583,0.1246936213181583,0.1255392709585801,0.057328393782084,0.1920109623959695,1.0,1.0,0.0110126488095238,0.0291485345040012,0.64,higher_in_endometriosis,higher_risk,True,True,True,2,higher_in_endometriosis,NK_cell,independent_human_and_functional,Human eutopic endometrium plus stromal-cell perturbation; ACSS2 was reported lower in endometriosis and knockdown increased proliferation and migration,conflicting,independent_of_project_datasets,B_conflicting,Strong direct relevance but opposite tissue-level direction; cell-family composition and contrast differences must be investigated.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11193987/
RNASE1,0.1076749551671768,0.1076749551671768,0.1047637187148578,0.0437374666146476,0.1609569730681672,1.0,1.0,0.0159334821428571,0.0232967242722073,0.74,higher_in_endometriosis,higher_risk,True,True,False,1,higher_in_endometriosis,Macrophage,multistudy_transcriptomic_synthesis,Review table reports RNASE1 higher in ectopic versus eutopic endometrium in at least three human microarray studies,supporting_different_contrast,underlying_study_provenance_not_fully_audited,B_contextual,Repeated transcriptomic support exists but the lesion-versus-eutopic contrast differs from the project's disease-eutopic-versus-control comparison.,https://pmc.ncbi.nlm.nih.gov/articles/PMC4346178/
ARG2,-0.0489844874083477,0.0489844874083477,-0.0473565558799859,-0.1083138987736985,0.0205339700342823,0.091,0.909,0.0035782738095238,0.0144015174600854,0.69,lower_in_endometriosis,lower_risk,True,False,False,0,lower_in_endometriosis,Macrophage,direct_but_context_mismatched,Computational ectopic-versus-eutopic endometriosis reports and functional adenomyosis evidence describe ARG2 as elevated or pro-survival,conflicting_or_noncomparable,possible_public_GEO_reuse,C_conflicting,Evidence concerns different tissues or adenomyosis and does not validate the project's macrophage-specific lower direction.,https://pubmed.ncbi.nlm.nih.gov/39116499/
SLC1A5,0.2049921725496682,0.2049921725496682,0.2048346015034858,0.1586080226397631,0.2481227079483601,1.0,1.0,0.0654220238095238,0.0314461499981469,0.98,higher_in_endometriosis,higher_risk,True,True,False,1,higher_in_endometriosis,Epithelial,experimental_model,Human endometrial stromal cell line and rat endometriosis model; SLC1A5 modulation altered ferroptosis sensitivity,mechanistically_supportive_expression_not_directly_comparable,independent_of_project_datasets,B_mechanistic,Direct mechanistic plausibility for glutamine metabolism and ferroptosis; not a human diagnostic-biomarker validation.,https://pubmed.ncbi.nlm.nih.gov/40464516/
STARD5,0.111524387433948,0.111524387433948,0.1134522872965857,0.0618997672572911,0.1563965949747248,1.0,1.0,0.0086802083333333,0.0182703572328061,0.68,higher_in_endometriosis,higher_risk,True,True,False,1,higher_in_endometriosis,Epithelial,no_direct_evidence_identified,No directly relevant endometriosis study identified in the targeted search,not_assessable,none_identified,I,Lipid-transfer and stress biology is indirect plausibility only.,
ZSCAN30,0.0502636556132111,0.0502636556132111,0.0545667584466779,-0.0062884467334706,0.0960929281577367,0.964,0.964,0.0008510416666666,0.0120581194201291,0.63,higher_in_endometriosis,higher_risk,True,True,False,1,higher_in_endometriosis,NK_cell,no_direct_evidence_identified,No directly relevant endometriosis study identified in the targeted search,not_assessable,none_identified,I,Poorly characterized candidate requiring independent biological validation.,
DUOX1,0.070233674706433,0.070233674706433,0.0713459530690436,0.0092344441068274,0.1345657687770738,0.986,0.986,-0.0015293154761904,0.0162657637374482,0.47,higher_in_endometriosis,higher_risk,True,True,False,1,higher_in_endometriosis,NK_cell,no_direct_gene_level_evidence_identified,Oxidative stress and ROS are well supported in endometriotic lesions but no direct DUOX1 study was identified,indirect_pathway_only,none_identified,C_indirect,The pathway is plausible but cannot validate DUOX1 or its NK-cell direction.,https://pubmed.ncbi.nlm.nih.gov/32001775/
