study_id,field,n_patients,n_with_metadata,completeness_fraction
GSE120103,condition,36,36,1.0
GSE120103,age,36,0,0.0
GSE120103,cycle_phase,36,36,1.0
GSE120103,disease_stage,36,18,0.5
GSE120103,disease_subtype,36,18,0.5
GSE120103,tissue,36,36,1.0
GSE120103,hormonal_treatment,36,0,0.0
GSE120103,fertility_status,36,36,1.0
GSE120103,country,36,0,0.0
GSE135485,condition,58,58,1.0
GSE135485,age,58,0,0.0
GSE135485,cycle_phase,58,0,0.0
GSE135485,disease_stage,58,0,0.0
GSE135485,disease_subtype,58,0,0.0
GSE135485,tissue,58,58,1.0
GSE135485,hormonal_treatment,58,0,0.0
GSE135485,fertility_status,58,0,0.0
GSE135485,country,58,0,0.0
GSE153740,condition,8,8,1.0
GSE153740,age,8,0,0.0
GSE153740,cycle_phase,8,8,1.0
GSE153740,disease_stage,8,0,0.0
GSE153740,disease_subtype,8,8,1.0
GSE153740,tissue,8,8,1.0
GSE153740,hormonal_treatment,8,0,0.0
GSE153740,fertility_status,8,0,0.0
GSE153740,country,8,0,0.0
GSE179640,condition,12,12,1.0
GSE179640,age,12,0,0.0
GSE179640,cycle_phase,12,0,0.0
GSE179640,disease_stage,12,0,0.0
GSE179640,disease_subtype,12,0,0.0
GSE179640,tissue,12,12,1.0
GSE179640,hormonal_treatment,12,9,0.75
GSE179640,fertility_status,12,0,0.0
GSE179640,country,12,0,0.0
GSE212787,condition,17,17,1.0
GSE212787,age,17,0,0.0
GSE212787,cycle_phase,17,17,1.0
GSE212787,disease_stage,17,0,0.0
GSE212787,disease_subtype,17,17,1.0
GSE212787,tissue,17,17,1.0
GSE212787,hormonal_treatment,17,0,0.0
GSE212787,fertility_status,17,0,0.0
GSE212787,country,17,0,0.0
GSE213216,condition,23,23,1.0
GSE213216,age,23,0,0.0
GSE213216,cycle_phase,23,0,0.0
GSE213216,disease_stage,23,0,0.0
GSE213216,disease_subtype,23,23,1.0
GSE213216,tissue,23,23,1.0
GSE213216,hormonal_treatment,23,0,0.0
GSE213216,fertility_status,23,0,0.0
GSE213216,country,23,0,0.0
GSE25628,condition,22,22,1.0
GSE25628,age,22,0,0.0
GSE25628,cycle_phase,22,22,1.0
GSE25628,disease_stage,22,0,0.0
GSE25628,disease_subtype,22,22,1.0
GSE25628,tissue,22,22,1.0
GSE25628,hormonal_treatment,22,0,0.0
GSE25628,fertility_status,22,0,0.0
GSE25628,country,22,0,0.0
GSE51981,condition,148,148,1.0
GSE51981,age,148,0,0.0
GSE51981,cycle_phase,148,146,0.9864864864864864
GSE51981,disease_stage,148,77,0.5202702702702703
GSE51981,disease_subtype,148,0,0.0
GSE51981,tissue,148,146,0.9864864864864864
GSE51981,hormonal_treatment,148,0,0.0
GSE51981,fertility_status,148,0,0.0
GSE51981,country,148,0,0.0
